"","comicName","comicSummary","comicGrade"
"140","[BL] HOLY JUNK","두 사람의 삶","9.54"
"141","자작 보드게임 동아리","자작 보드게임 만화","9.78"
"142","소피아가 머리카락을 쓸어넘길 때","학원 일상 추리","9.90"
"143","서유신마록","삼장과오공의대모험극","9.59"
"144","질주","초능력 판타지","9.61"
"145","사장님은 떡뽀끼!","분식집 일상물","9.67"
"146","드래곤메이커","용키우는만화","9.88"
"147","판타지 TV","판타지 인터넷방송","9.67"
"148","기억 속 너에게","메르와 루의 이야기","8.87"
"149","손 안의 너","정체불명 미니사이즈","9.86"
"150","아틀레냐 비바체","치유계 개그물","9.86"
"151","이승전결","영적장애 저승사자","9.57"
"152","홈 스윗 홈","네식구 사는 이야기","9.85"
"153","픽셔너","그들의 이상한 일상","9.64"
"154","의대생 하루","의대생의 리얼 일상","9.12"
"155","여름에 내리는 서리","2025.08.28","9.09"
"156","정의를 위한 나라","소년판타지좀비아포","9.09"
"157","아타나시아","마법과 불사","9.61"
"158","좀비랜드","좀비랜드 탈출기","9.60"
"159","치즈범벅","치즈고양이형제 일상","9.84"
"160","미치광이 맥","심부름꾼의 이야기","9.76"
"161","전지적덕후시점","나의 덕질 라이프","9.65"
"162","빨간맛 로맨스","미치도록 달콤한","9.87"
"163","식봉툰","일상적인 이야기","8.72"
"164","리드래프트","야구에 만약이있다면","9.85"
"165","만화 임진왜란","쉽고 웃긴 임진왜란","9.76"
"166","불손한 친구들","불손한친구들 이야기","9.72"
"167","케어시트","청춘 동아리 로맨스","9.57"
"168","괜찮아, 고3이야","너와나의 리얼고3툰","9.90"
"169","전송","살아있을까","9.22"
"170","베이퍼 정키스","퓨처 느와르","9.34"
"171","우리는 친한친구","친한친구 이야기","9.34"
"172","미친 꽃은 답도 없다","로판 / 자유연재","9.75"
"173","주짓수와 고양이","주짓수에 빠진 집사","9.70"
"174","이상한사무실","디자인 회사 이야기","9.49"
"175","오늘도 그래고래","힐링 미스터리 웹툰","9.82"
"176","일요극장","아마도 일상 판타지","9.84"
"177","느린한끼","요리 만화","9.74"
"178","엑스마키나","SF액션","7.17"
"179","도깨비 장난","혁명 액션 판타지","9.87"
"180","저승파견고용직","기묘한 러브액션로망","9.90"
"181","김작가의 오춘기 그림일기","오춘기를 앓고있어요","9.84"
"182","모두의 단편선","모두가함께하는웹툰","9.84"
"183","나는 마요 집사로소이다","쉽지 않은 집사생활","9.83"
"184","사서고생!","어른이 되고 싶어!","9.73"
"185","마법소년 근무일지","","9.78"
"186","이루어지리다","청춘 성장 판타지","9.57"
"187","하이스쿨 콤플렉스(마이동풍)","청춘로맨스","9.63"
"188","이딴여행","여행포토툰","9.75"
"189","너의 여집합","네가 없는 세상","9.85"
"190","토마","의문의 전학생","9.40"
"191","미스터 신데렐라","신데렐라가 남자라면","9.80"
"192","분노의 난임일기","난임 정복 웹툰!","9.77"
"193","채채쓰의 웃픈일기","왜 삶은 웃플까요?","9.88"
"194","행복을 만드는 방법","집착감금물","9.63"
"195","A girl like alien","외계인 같은 소녀.","9.81"
"196","카나와 초나의 독일","독일 생존기","9.87"
"197","블루랜드","색을 잃고 살아남다","9.90"
"198","뼈의 시간","병원 호러스릴러","9.77"
"199","할로윈이 끝나기 전에","매주 수요일 연재","9.88"
"200","찌의일찌","찌의데일리","9.71"
"201","가위바위보","지면 죽는다.","9.63"
"202","쓰레기 성의 소녀","만화 속 세상이야기","9.89"
"203","죽탱이","MMA 종합격투기","8.56"
"204","너와 가까워지는 거리","소프트BL","9.64"
"205","양송부부의 맛있는 한잔","술이 있는 일상","9.80"
"206","촌스러운 그들","촌스러운 그들","9.65"
"207","하나리즈","레즈비언 커플이야기","8.83"
"208","음악의 길","퓨전 뮤직 액션","9.32"
"209","원스 인 어 블루문","초능력은 거들 뿐","9.78"
"210","뼈와 재, 불의 이야기","월요일 현대 판타지","8.69"
"211","이래서 애들은","다양한장르의 거짓말","9.88"
"212","엑스프렌즈","이별 사연 에피소드","9.84"
"213","맹랑맘마 MEMORY","다시 쓰는 일기","9.84"
"214","베텔게우스","별과 시간과 사람","9.26"
"215","용사 신드롬!","모험 로맨스 판타지","9.56"
"216","누루누루 음식만화","음식 탐닉 일상툰","9.88"
"217","기억지도","한국근현대 SF물","9.42"
"218","일상중의 일상툰","상중의 이상한 일상","9.19"
"219","브레인 스톰","기억들의 배틀로얄","9.87"
"220","루이와 졸개들 R","나만알고싶은 양아치","9.77"
"221","용은 범을 잡아먹지 않는다.","용과 싸우는 소년","9.71"
"222","우리집 강아지는 복슬강아지","댕댕이와의 일상:3","9.90"
"223","사는 게 이게 모양?!","모양이와 일상생존기","9.77"
"224","모노톤 책꽂이","로맨스 단편집","9.22"
"225","만월에 핀 연꽃","고려시대 사랑이야기","9.69"
"226","막장동화에 어서오렴! (feat.동화원정대)","코믹 개그 막장동화","9.22"
"227","지몽, 선 너머의 나","운명조작히어로","9.57"
"228","네펜데스","환경 판타지 스토리","9.23"
"229","망했다 튀어라","만화","9.72"
"230","그래도 하루는","희노애락 투병일기","9.88"
"231","말레이시아 리스키씨","말레이시아 교민일기","9.89"
"232","오사와 오폐수들","그냥 오사의 일상","9.93"
"233","고등학교 수감기록","고삼은 존버한다","9.73"
"234","런어웨이","초능력 소녀,그의 소유물이 되다","9.76"
"235","아스테리스크","용과 소년소녀","9.89"
"236","우리들의 우상은","무한긍정도시 탈출기","9.84"
"237","파라웨이 치킨","먼치킨알바들과사장","9.61"
"238","소소일기","소소한 일상","9.59"
"239","해결사","해결사를 하는 소년소녀의 일상물","9.88"
"240","달기알","달걀 닮아서 달기알.","9.88"
"241","여기서 한잔할래?","수달의 혼술툰","9.71"
"242","괴물의 바다","바다로 가는 이야기","9.89"
"243","에고 인 휴고","지킬 박사의 후손","9.65"
"244","디 언더사이즈드(THE UNDERSIZED)","고등학교농구부이야기","9.52"
"245","이름 없는 나에게","윤하와 주변 이야기","9.10"
"246","서폿저택에 어서오세요","서폿만 사는 저택","9.86"
"247","남의 사랑 이야기","조금 늦은 첫사랑","9.80"
"248","아이엠","파란만장아이돌라이프","9.58"
"249","점성술사","점쟁이들 이야기","9.60"
"250","정신과심리만화 by 팔호광장","알고싶니 마음","9.76"
"251","소울","코믹액션 더하기 환타지","8.93"
"252","리사이클","게임뒤에 숨은 비극","8.89"
"253","게임에 접속했습니다!","게임하는 고딩들","9.76"
"254","DOOR","충격의 다크 판타지","9.82"
"255","루머의 법칙","캠퍼스 로맨스","9.77"
"256","반오십부터 그림일기","평범한 으른일기","9.84"
"257","전지적 악녀 시점","썸네일 주인공 아님","8.76"
"258","용사·마왕·우주인","낙제 용사 이야기","9.90"
"259","수영만화일기","저질체력,수영-하다","9.87"
"260","THE 극한가장","네가족의 일상툰","9.76"
"261","제제와 함께","장애아이와 형제","9.83"
"262","프레이","좀 매운 배틀물","9.77"
"263","힝구의 견생일기","동네개들의견생라이프","9.90"
"264","천상열차분야지도","옥황상제와 별자리","9.87"
"265","모지리전","바보 무리 기록본","9.21"
"266","코엑시스트","로맨스 스릴러","8.98"
"267","범죄 사냥꾼:9직 전쟁","범죄를 사냥하는형사","9.59"
"268","착한남자 김우진","20대 남자의이야기","8.68"
"269","자유의 경계","감옥액션스릴러","9.80"
"270","피오키노","악마와 소년","9.61"
"271","신과의 대화","즐거운 이야기","9.78"
"272","허니허니2 - 느리지만 괜찮아","초보아빠 육아일기","9.89"
"273","내과 박원장","의사가그린 의사만화","9.83"
"274","너와 나의 몰디브","30대 연애와 결혼","9.42"
"275","가상&RPG","가상현실 액션RPG","9.88"
"276","왕과 나","세자는 여인이다.","9.71"
"277","일찍 자고 일찍 일어나기","아침형 뱀파이어","9.90"
"278","로마의 법칙","이태리 직장인 늘보","9.84"
"279","햇살 주인공을 악당으로 키워버렸다","공주로 환생했다.","9.74"
"280","채똘일기","채똘일기","9.59"
"281","봄날의 산보","봄날에 산보하듯","9.82"
"282","꽃이 피는 자리","기생 식물","9.67"
"283","문어숙희숙회","문어숙회를 위하여!","9.74"
"284","타이트엔드","미식축구 만화","9.44"
"285","귀염뽀짝 애기뚱냥 뽀냥이","귀염뽀짝한 애기뚱냥","9.83"
"286","사도 신여랑傳","초 자유연재 입니다","9.49"
"287","F I X","타임리프호러","9.51"
"288","슈체나리움 (Szenarium)","서막","9.02"
"289","츤데레","남정네 넷의 츤츤","9.87"
"290","청춘갱신","#사랑#우정#성장","9.71"
"291","래빗 콤바치!","주짓떼라 생활툰","9.64"
"292","썰 삽니다! PM사무소","이야기를 삽니다!","9.85"
"293","네, 아직 아파요","정병러 그림 일기","9.47"
"294","루텔","력家네","9.90"
"295","한국 프로야구사","프로야구 역사만화","9.52"
"296","썸라대왕","현대로맨스판타지","9.55"
"297","루커피쳐","꿈이 뭐예요?","9.89"
"298","크림슨 크로스","희망의 가치.","9.77"
"299","달콩달콩 일상","바카와 호두","9.82"
"300","뿅가이","간다 간다 뿅간다","9.86"
"301","도례 (道禮)","초능력의 기원","8.71"
"302","흑묘","검은 고양이 사냥꾼","9.73"
"303","얼어붙은 아로와향기","청춘들의 쿨 로맨스","8.85"
"304","39℃","꿈을 이루는 끈기","7.84"
"305","우주n은하","우주에서 온 소녀들","9.86"
"306","찬란의 날","'칩'이 나타났다.","9.84"
"307","곰팡남녀","보통의 경계","9.89"
"308","어쩌다 햄스터","초보집사와 초보주인","9.81"
"309","좋아하는거 참으면 병나요!","좋아하는건 못참아","9.70"
"310","CAFE_쉬어가게","누구나 쉬어가는 곳","9.78"
"311","열여섯과 스물 그 사이","툭탁 격정 로맨스","8.98"
"312","천사는 야옹","고양이가 사실 천사","9.89"
"313","타고난자","우리의 그 시절","9.60"
"314","업사이클 다이어리","버리면 애물단지 손대면 나만의 예술작품","9.68"
"315","누나 한입만화","4컷 일상 먹툰","9.90"
"316","나는 부활 마법을 가졌다","부활판타지","9.86"
"317","좀비가 된 세상에서 마법사는","좀비와 마법사","9.29"
"318","디나운스","패션, 드라마","9.75"
"319","어둠의 창","어둠의 끝에서...","9.55"
"320","너어는지인짜","당근 맛집","9.68"
"321","백일몽화원","7,17,27일연재","9.70"
"322","개판오분전","즐겨요이기분","9.65"
"323","흙수저를 위한 나라는 없다","흙수저 성장기","9.50"
"324","왕립 루브리카 종합학원","판타지학원물","9.90"
"325","싸카소녀","소녀들의 스뽀오츠!","9.84"
"326","종이를 주웠다","종이의 성장과 사랑","9.64"
"327","월국(月國)의 프락세이스","소년과 세계,스피릿","9.63"
"328","고냥고냥","취준생 고냥이","9.90"
"329","금잔화가 피는 여름","동양 판타지","9.24"
"330","지나치게 달콤한","알바생VS아이돌","9.86"
"331","악인","현대판타지 스릴러","9.78"
"332","야귀록","귀신과 사람이야기","9.75"
"333","무쇠 후라이팬","무쇠팬 쓰는 남자","9.90"
"334","어쩌다 보니 용사가","용사가 허접 쩌리?","9.64"
"335","개인적인택시","음악이 흐르는 택시","9.89"
"336","이클립스","자유연재","9.86"
"337","졸렬☆다이나믹","다이나믹 초딩들","9.90"
"338","어느새 대학생","미대생의 대학생활","9.31"
"339","비공략 캐릭터를 공략하는 방법","게임캐를 공략하라!","9.25"
"340","광고감독의 발암일기","광고감독의 웃픈일상","9.65"
"341","고양이 마법학교","마법배우는 고양이들","9.79"
"342","아수라게이트","아수라 죽이기","9.46"
"343","날개 부러진 새의 노래","타인이 되는 두남녀","9.53"
"344","수능0등급","고3 vs 테러범","9.08"
"345","휠오브포춘","운명의 굴레","9.73"
"346","라텔론","근미래속의 마법사","9.25"
"347","헨젤","지옥을 거니는 천사.","8.90"
"348","빨간 물고기","엄마에 대한 애증","9.89"
"349","심연","비윤리적인 실험","9.76"
"350","우당탕탕 재끼 일상","부부,일상,공감","9.49"
"351","달맞이꽃","동양판타지","9.82"
"352","용사님이시다","정통 판타지 만화?","9.85"
"353","능력안경","안경장르 만화","9.90"
"354","풋내기들","청춘하숙 로맨스","9.53"
"355","마이데이","순정,학업로맨스","9.68"
"356","이상징후(異常徵候)","초능력이 아닙니다.","9.85"
"357","애니메이킹","애니메이션 만들기","9.51"
"358","꽃밭에서","잊어버린 것","9.87"
"359","궤짝","어두운본성을마주하다","9.79"
"360","연애일기","소소한 연애 일상","9.90"
"361","블랙펄","죽지못하는 용병","9.72"
"362","집에가고싶다","집곰팡이의 일상","9.89"
"363","웨일즈","인어와 인어사냥꾼","9.89"
"364","똥두","사춘기 소녀의 일상","9.69"
"365","잘먹는 가","먹는게 낙인 가족들","9.77"
"366","지나온 길","학원 성장 드라마","9.37"
"367","여자 공수혁","수혁이 학원기","9.90"
"368","망생이 전투","기계가 일해주는줄","9.66"
"369","자체공강","대학물인척하는 만화","9.86"
"370","흐르는 바닷불처럼","해귀에게서 살아남기","9.78"
"371","날것","해묵은 그림 일기장","8.77"
"372","월혼","여우인간의 생존사투","9.73"
"373","저승 화랑전","악덕 상사와 나","9.90"
"374","버그 트레인","NPC들의 생존기","9.84"
"375","처음이잖아","괜찮아. 처음이잖아","9.52"
"376","新조선왕조실록","조선왕조인계자이야기","9.83"
"377","저주와 별가루","저주와 별가루","9.74"
"378","상그미상","일상툰!","9.89"
"379","엔드시즌","초딩들의 야구","9.56"
"380","강가네","사남매 가족 적응기","9.89"
"381","겨까게 사랑한다","반려묘와자취라이프","9.49"
"382","판타스틱 시니어","로라의 성장","9.88"
"383","마족사제","사제님은 마족?","9.89"
"384","위치파이와 미드나잇주스","내 인생은 내 인생","9.84"
"385","번혼","용이 되어라!","9.09"
"386","용아","능력자 판타지","8.91"
"387","단편들","단편만화","9.90"
"388","발버둥치다","우울증 이야기","9.89"
"389","너나들이","20대남녀연애이야기","9.87"
"390","오마이갓","신을 뽑는 오디션","9.58"
"391","이웃집 유부녀","일상툰","9.90"
"392","아옹아옹","두식이 냥육일기","9.86"
"393","여기야! 헤드볼 빌리지","헤드볼친구들의대모험","9.05"
"394","마왕이 되는 방법","자유연재","9.83"
"395","예쁜 사나이","예쁜 사나이","9.58"
"396","쌍둥이부부일기","똑닮은 가족 일기","9.87"
"397","꿈무덤","꿈 속의 이야기","9.81"
"398","빨간 고백","돌아온 너에게","9.74"
"399","오늘밤 야식을 먹는다","오늘밤 야식 어때?","9.45"
"400","라떼는 말이야","흑역사 파티원 모집","9.71"
"401","일주일 지구체험","외계인과의 일주일","9.77"
"402","여캠 조수희","일상 스릴러","9.49"
"403","베트남 프렌즈 여행기","여행장려웹툰","9.86"
"404","정령왕즈","정령왕들이 조잘조잘","9.88"
"405","횡설수설 다이어리","40대 가장의 일상","9.33"
"406","나의 애니메이터 이야기","나는 애니메이터","9.45"
"407","할짝 심리학","심리학 겉핥기","9.88"
"408","조선귀변사","사도세자의 퇴마기","9.55"
"409","저승길잡이","이승과 저승의 경계","9.90"
"410","아케미아 아카데미","연금술사,학원물","9.86"
"411","너는 나의 나는 너의 수호천사","로맨스판타지","9.88"
"412","냥만연애툰","귀욤뽀짝 개그일상툰","9.53"
"413","나의 스위치 메이트","바디체인지 로맨스","9.89"
"414","52번지 몬스터","설렘살벌 로맨스릴러","9.71"
"415","여왕의 계절","시대극 판타지 웹툰","9.87"
"416","엑스트라 Z씨","Z씨의 발버둥","9.90"
"417","과한가족","조금 과한 그들","9.88"
"418","사랑하는 계절","자유연재","9.78"
"419","틈","틈을파고드는 이야기","9.85"
"420","검은유성우","동양풍 이능력물","9.83"
"421","웰시네 부부에세이","삶 그림에세이","9.59"
"422","천상대전","천상대전","9.87"
"423","별의아씨","-","9.59"
"424","검은 늑대","검은 늑대","9.87"
"425","현의 파편","소녀와 환상","9.76"
"426","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.85"
"427","성장통 소나타","예체능 로맨스","9.89"
"428","엘카림이 들어줄게!","SF+판타지 액션.","9.78"
"429","팔재叭災","도사와 겨울아들","9.72"
"430","도담도담","두더지 모험 힐링","9.38"
"431","불편해요, 선배님!","캠퍼스 로맨스","9.90"
"432","데뷔하고 싶어요","아이돌연습생성장물","9.23"
"433","주말엔 보랏빛 향기","성장 로맨스","9.74"
"434","도와줘요 사신님!","인간 되기 싫어요","9.55"
"435","포-갓","열심히 일하는 신","9.89"
"436","바람따라 물따라","역사인물만화","9.74"
"437","안녕 톡톡","안녕하세요","8.94"
"438","너의 뒤에서","사랑따위...","9.53"
"439","남주만 9명?!","로맨스 판타지","9.67"
"440","무인도 Vlog","무인도 생존Vlog","8.83"
"441","양치기 소년","당신의 거짓말","9.79"
"442","가면","욕망 판타지","9.53"
"443","솔직히 말해서","로맨스판타지개그만화","9.69"
"444","옆집에 그녀가 산다","옆집의 특별한그녀!","9.62"
"445","중등 생활 보고서","현실 중딩 보고서","8.98"
"446","테이커","17살의 킬러","9.85"
"447","악마법소녀","마법과 내뱉은 말","9.89"
"448","그날, 우리들의 여름.","여고 육상 성장기","9.80"
"449","바람과 소원","꿈을 위해서라면","9.80"
"450","마법약사","포션장사하는 이야기","9.90"
"451","저는 용사님이 아닌데요!","마녀라고요!","9.69"
"452","내 매력에 퐁당","내 매력에 퐁당!","9.57"
"453","아파트용사","아싸인생 이세계로!","9.43"
"454","쏘 판타지","So fantasy","9.87"
"455","컷","NG없인 성장도없다","9.65"
"456","어느 남고생의 하루","말하는강아지가사실은","9.88"
"457","은해갑을깝치","은해갑/깝치을","9.24"
"458","악마의 육아일기","따뜻한 이야기","9.83"
"459","맛있는 남자","핥지마","9.88"
"460","목소리의 그늘","성우, 성장 로맨스","9.89"
"461","유진의 환상특급열차","유진의 여행기","9.89"
"462","킬러5","다섯 명의 킬러들","9.82"
"463","이 몸은 신이니라!","카이즈","9.61"
"464","룩앤미","아름다움의 가치","9.49"
"465","헬로사이공","따뜻한 이야기들","9.88"
"466","모야툰","모야의 일상","9.69"
"467","살문 (殺門)","살인과 관상","9.68"
"468","잠자던 숲속의 공주","잠자던 공주 귀환기","9.68"
"469","포도나무 소녀","포도나무","9.77"
"470","바람과 소원(구: 바람을 실은 메아리)","꿈을 위한 거짓말을","9.49"
"471","연기는 처음인데요?!","내가 연기천재였다니","9.79"
"472","좋운날","좋운날 보내셨나요?","9.90"
"473","여행 다운","TMI 여행일지","9.87"
"474","아빠 내일은 뭐하고 놀까?","조금은 특별한 아버지와 아들의 이야기","9.78"
"475","따뜻한 나의 코코","우리들을 위한 이야기","9.89"
"476","그날의 우리","우리들의 이야기.","9.77"
"477","이불 밖 달리기","저질체력인생과 운동","9.87"
"478","아무도 믿지마","두뇌 심리게임","9.82"
"479","하임의 서재","비블리오 판타지","9.89"
"480","언데드의사 김해골","던전의 몬스터의사 김해골","9.90"
